question_title,accepted_answer_link,normalized_link
What is the frequency of key rotation in Platform Managed Keys,https://learn.microsoft.com/en-us/azure/virtual-machines/disk-encryption#about-encryption-key-management,https://learn.microsoft.com/en-us/azure/virtual-machines/disk-encryption
Need simple way-How to migrate On-premise window server AD to Azure Window server AD?,https://learn.microsoft.com/en-us/azure/migrate/tutorial-migrate-physical-virtual-machines,https://learn.microsoft.com/en-us/azure/migrate/tutorial-migrate-physical-virtual-machines
system error when vectorising data,https://learn.microsoft.com/en-us/azure/search/index-projections-concept-intro?tabs=kstore-rest,https://learn.microsoft.com/en-us/azure/search/index-projections-concept-intro
VM Metrics - Network In/Out Billable(Deprecated) differences with Network In/Out Total?,https://learn.microsoft.com/en-us/azure/azure-monitor/reference/supported-metrics/microsoft-compute-virtualmachines-metrics,https://learn.microsoft.com/en-us/azure/azure-monitor/reference/supported-metrics/microsoft-compute-virtualmachines-metrics
https at root level not resolving,https://learn.microsoft.com/en-us/azure/frontdoor/front-door-how-to-onboard-apex-domain?pivots=front-door-standard-premium,https://learn.microsoft.com/en-us/azure/frontdoor/front-door-how-to-onboard-apex-domain
ARM templates para criação de máquinas virtuais no Azure,https://learn.microsoft.com/en-us/azure/virtual-machines/windows/ps-template,https://learn.microsoft.com/en-us/azure/virtual-machines/windows/ps-template
Synapse. How do you write a Stored Procedure to create External tables?,https://learn.microsoft.com/en-us/azure/synapse-analytics/sql/develop-tables-external-tables?tabs=hadoop,https://learn.microsoft.com/en-us/azure/synapse-analytics/sql/develop-tables-external-tables
Postgres flexible server RBAC,https://learn.microsoft.com/en-us/azure/role-based-access-control/tutorial-custom-role-powershell,https://learn.microsoft.com/en-us/azure/role-based-access-control/tutorial-custom-role-powershell
send windows OS logs to Event Hub,https://learn.microsoft.com/en-us/azure/azure-monitor/agents/diagnostics-extension-stream-event-hubs,https://learn.microsoft.com/en-us/azure/azure-monitor/agents/diagnostics-extension-stream-event-hubs
"Not able to execute Get-AzStorageAccount, though module is installed.",https://learn.microsoft.com/en-us/azure/automation/automation-update-azure-modules,https://learn.microsoft.com/en-us/azure/automation/automation-update-azure-modules
How to create a deployment of GPT-4o so that all data resides in Europe?,https://learn.microsoft.com/en-us/azure/ai-services/openai/concepts/models#gpt-4-and-gpt-4-turbo-model-availability,https://learn.microsoft.com/en-us/azure/ai-services/openai/concepts/models
VM unable to connect to endpoint over IPsec tunnel,https://learn.microsoft.com/en-us/azure/vpn-gateway/tutorial-site-to-site-portal?source=recommendations,https://learn.microsoft.com/en-us/azure/vpn-gateway/tutorial-site-to-site-portal
Failed to upgrade node pool,https://learn.microsoft.com/en-us/azure/aks/upgrade-cluster?tabs=azure-cli#upgrade-an-aks-cluster,https://learn.microsoft.com/en-us/azure/aks/upgrade-cluster
Public IP Azure,https://learn.microsoft.com/en-us/azure/virtual-network/ip-services/associate-public-ip-address-vm,https://learn.microsoft.com/en-us/azure/virtual-network/ip-services/associate-public-ip-address-vm
Need to understand managed storage account config of Azure databricks,https://learn.microsoft.com/en-us/azure/databricks/scenarios/quickstart-create-databricks-workspace-vnet-injection,https://learn.microsoft.com/en-us/azure/databricks/scenarios/quickstart-create-databricks-workspace-vnet-injection
When creating a function app I fill in the basic information and then click next to go to storage options and the process gets hung up.  What gives?,https://learn.microsoft.com/en-us/azure/azure-functions/deployment-zip-push#cli,https://learn.microsoft.com/en-us/azure/azure-functions/deployment-zip-push
Is Azure Private DNS a regional service ?,https://learn.microsoft.com/en-us/azure/dns/dns-faq-private#will-azure-private-dns-zones-work-across-azure-regions-,https://learn.microsoft.com/en-us/azure/dns/dns-faq-private
